word,remarks
sick,病気で 病気の
kind,親切な
glad,うれしい
good,良い
young,若い
sometimes,時々
often,しばしば
early,早く
always,いつも
again,再び
far,遠くに はるかに
here,ここに
very,非常に
how,どのくらい
too,～もまた ～すぎる
no,いいえ
beautiful,美しい
next,次の 隣の
long,長い
rich,金持ちの 豊かな
able,できる 有能な
hot,暑い
small,小さな
white,白い
black,黒い
TRUE,ほんとうの
much,多量の
every,毎～
many,多くの
cold,冷たい 寒い
famous,有名な
blue,青い
one,1
two,2
three,3
four,4
five,5
six,6
seven,7
eight,8
nine,9
ten,10
eleven,11
twelve,12
thirteen,13
fourteen,14
fifteen,15
sixteen,16
seventeen,17
eighteen,18
nineteen,19
twenty,20
thirty,30
forty,40
fifty,50
sixty,60
seventy,70
eighty,80
ninety,90
present,プレゼント
way,道 方法
west,西
chance,機会
age,年齢 時代
right,右 権利
half,半分
north,北
class,学級 授業
danger,危険
lot,たくさん
south,南
subject,科目 題目
east,東
number,数
color,色
line,線 列
place,場所
meter,メートル
thing,こと・物
name,名前
science,科学
left,左
I,私は(が)
my,私の
me,私を
mine,私のもの
you,あなたに(を) あなたがたを
your,あなたの あなたがたの
you,あなたは あなたがたは
yours,あなたのもの あなたがたのもの
he,彼は
his,彼の
him,彼を 彼に
his,彼のもの
she,彼女は
her,彼女の
her,彼女を 彼女に
hers,彼女のもの
it,それは
its,それの
it,それを それに
we,私たちは
our,私たちの
us,私たちを 私たちに
ours,私たちのもの
they,それらは 彼らは 彼女らは (this is not common)
their,彼らの 彼女らの 女らの
them,彼らを 彼らに 彼女らを (this is not common) 彼女らに (this is not common)
theirs,彼らのもの 彼女らのもの
myself,私自身を
yourself,あなた自身
himself,彼自身
herself,彼女自身
itself,それ自身
ourselves,私たち自身を
themselves,彼ら自身 彼女ら自身 (this is not common)
this,これは
that,あれは
these,これらは
those,あれらは
everyone,みんな
someone,だれか
nobody,だれも～ない
none,何も～ない (things) (だれも)～ない (people)
everything,すべてのもの
everybody,だれでも・みな
nothing,何も～ない
both,両方
all,みんな
most,ほとんど
who,だれ
what,何
which,どちら
whose,だれの(もの)
something,何か
